                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92535,                 2.4391,                 0.9133,                0.08042,                0.76225,                0.49993,                0.43034,                 0.8118,                 3.2358,                0.82269,               0.000272,               0.000272,               0.000272
                      2,                0.77075,                 1.0502,                0.87402,                0.90831,                0.53629,                0.82199,                 0.6803,                0.75624,                 1.9824,                0.82975,             0.00054785,             0.00054785,             0.00054785
                      3,                0.72572,                0.89956,                0.87344,                0.84378,                0.66404,                0.79336,                 0.6497,                0.74329,                 1.1777,                0.83032,             0.00082187,             0.00082187,             0.00082187
                      4,                0.72413,                0.82343,                0.87797,                   0.83,                0.62774,                0.84413,                0.68697,                0.74992,                 0.9399,                0.83359,             0.00082475,             0.00082475,             0.00082475
                      5,                0.70207,                0.75844,                 0.8733,                0.88155,                 0.7052,                0.78699,                0.64685,                0.80176,                0.93629,                0.85354,               0.000822,               0.000822,               0.000822
                      6,                0.68804,                 0.6923,                0.86801,                0.90772,                0.73008,                0.83144,                0.69074,                0.74764,                0.81047,                 0.8385,             0.00081926,             0.00081926,             0.00081926
                      7,                0.67962,                0.64275,                0.87299,                0.88913,                 0.7656,                0.84047,                0.70798,                 0.6991,                0.91982,                0.83149,             0.00081651,             0.00081651,             0.00081651
                      8,                0.65984,                0.61171,                0.86906,                0.91097,                0.71276,                0.86375,                0.73551,                0.70844,                0.77538,                0.82998,             0.00081376,             0.00081376,             0.00081376
                      9,                0.65228,                0.59714,                0.86626,                0.91967,                0.71647,                0.85305,                0.71766,                0.72378,                0.83256,                0.84287,             0.00081101,             0.00081101,             0.00081101
                     10,                0.64881,                0.56656,                 0.8656,                0.78997,                 0.7297,                0.82485,                0.68927,                0.70529,                0.93461,                0.83467,             0.00080826,             0.00080826,             0.00080826
                     11,                0.63428,                0.54633,                0.86234,                0.88213,                0.76813,                0.83952,                0.71132,                0.72991,                0.88896,                0.83433,             0.00080551,             0.00080551,             0.00080551
                     12,                0.63435,                 0.5264,                0.86142,                0.91206,                 0.7324,                0.82741,                0.70464,                0.72773,                0.89494,                0.83888,             0.00080276,             0.00080276,             0.00080276
                     13,                0.62622,                0.51284,                0.85634,                0.88658,                0.74371,                0.83017,                0.71024,                 0.6965,                 0.8172,                0.83044,             0.00080001,             0.00080001,             0.00080001
                     14,                0.62915,                0.51085,                0.86264,                0.88887,                0.74328,                0.83293,                0.70546,                0.69791,                0.76514,                0.83455,             0.00079726,             0.00079726,             0.00079726
                     15,                0.62197,                0.50591,                 0.8624,                0.90406,                0.73982,                0.86827,                0.74936,                0.66972,                0.76842,                0.83564,             0.00079452,             0.00079452,             0.00079452
                     16,                0.60744,                0.50024,                0.85362,                0.89093,                 0.7059,                0.83849,                0.71267,                0.68425,                0.87924,                0.83223,             0.00079177,             0.00079177,             0.00079177
                     17,                0.60954,                0.48129,                0.85335,                0.89535,                0.73216,                0.84252,                0.73738,                0.68048,                0.78737,                0.83296,             0.00078902,             0.00078902,             0.00078902
                     18,                0.59828,                0.47453,                0.85451,                0.80538,                0.77064,                0.83679,                0.71022,                 0.6999,                0.79446,                0.83088,             0.00078627,             0.00078627,             0.00078627
                     19,                0.60215,                 0.4662,                0.85402,                0.88503,                0.75138,                0.83869,                0.70583,                 0.7191,                0.80012,                0.83786,             0.00078352,             0.00078352,             0.00078352
                     20,                0.58881,                0.46177,                0.85301,                0.85331,                0.73818,                0.87149,                0.76192,                0.66857,                0.71776,                0.83133,             0.00078077,             0.00078077,             0.00078077
                     21,                0.58906,                0.46667,                0.85735,                0.90142,                0.76982,                0.87436,                0.75042,                0.67215,                0.70203,                0.83107,             0.00077802,             0.00077802,             0.00077802
                     22,                0.58588,                0.45771,                0.85494,                0.89292,                0.77132,                 0.8726,                 0.7496,                0.70052,                 0.7244,                0.83915,             0.00077527,             0.00077527,             0.00077527
